Pathway	Metabolite	H1	H2	H3	H4	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3	PROTOTROPH4
glycolysis	disaccharides	591.7	974.5	847.6	587.7	1110.2	1716.2	437.4	1318.9	1265.1	1060.1	599.5
glycolysis	Trehalose-6-P	42.8	67.4	59.8	67.9	166.8	129.9	189.8	77.5	81.9	75.8	76.8
glycolysis	G1P	1.7	1.6	1.5	2.2	1.6	1.8	2.3	1.9	2.1	2.1	2.1
glycolysis	HexP	1.7	1.4	1.5	2.1	1.7	1.8	2.9	1.8	1.7	1.7	2.1
glycolysis	"fructose-1,6-diphosphate"	1.6	1.7	1.6	2.1	1.0	1.5	2.1	2.0	2.1	2.0	2.2
glycolysis	glycerone phosphate	0.5	0.5	0.5	0.6	0.4	0.5	0.6	0.6	0.6	0.6	0.6
glycolysis	glycerol monophosphate	0.5	0.5	0.5	0.5	0.3	0.5	0.5	0.6	0.6	0.6	0.5
glycolysis	xPG	0.1	0.1	0.1	0.2	0.1	0.2	0.1	0.1	0.2	0.1	0.1
glycolysis	phosphoenolpyruvate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
glycolysis	pyruvic acid	5.0	4.8	3.5	5.2	6.9	6.2	8.0	5.5	5.7	5.5	6.4
PPP	6-phosphogluconic acid	0.4	0.4	0.3	0.4	0.1	0.3	0.3	0.4	0.4	0.4	0.5
PPP	Ribulose_5_P_2	0.3	0.2	0.2	0.3	0.2	0.3	0.4	0.3	0.2	0.2	0.3
PPP	Ribose_5_P_2	0.2	0.1	0.1	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2
PPP	S7P	494.0	532.8	487.0	559.5	506.4	496.4	751.8	602.0	570.4	572.4	571.0
TCA	acetyl coenzyme A	3226.3	4854.8	4877.3	7278.6	8207.4	5165.1	8548.6	3110.2	4168.9	5203.1	8325.0
TCA	citric acid	4.2	3.9	3.5	4.6	5.3	5.3	6.0	4.2	4.5	3.8	4.9
TCA	cis-aconitic acid-13C	2350.4	2053.3	1497.7	2648.4	2410.5	1916.9	2864.1	1978.2	2355.3	1800.2	2581.7
TCA	isocitric acid	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TCA	alpha-keto-glutarate	1.4	1.7	2.4	1.6	2.3	2.1	1.4	2.0	2.5	1.8	1.2
TCA	succinic acid	0.5	0.4	0.3	0.4	0.2	0.3	0.4	0.4	0.4	0.4	0.4
TCA	malic acid	1.2	1.3	1.0	1.3	1.1	0.9	1.4	1.3	1.3	1.1	1.5
Amino acid	arginine	17.6	18.5	14.8	23.1	24.8	30.0	20.8	17.3	21.6	19.0	20.5
Amino acid	aspartic acid	6.6	6.4	6.1	7.8	7.0	7.7	10.9	8.1	8.1	7.9	7.8
Amino acid	glutamic acid	28.6	32.7	26.1	36.6	25.4	28.5	35.7	35.4	36.6	33.2	33.0
Amino acid	glutamine	12.5	14.8	12.3	14.0	11.4	10.3	15.1	15.4	15.6	14.4	12.8
Amino acid	phenylalanine	0.3	0.3	0.3	0.3	0.7	0.5	0.4	0.3	0.4	0.4	0.3
