protein.Accession	UNIQID	gene	EC number	ProteinNames	GeneName	SequenceLength	H1	H2	H3	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3
O13563	YLR421C	RPN13		26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	RPN13 DAQ1 YLR421C	156	2420	2297	2207	1919	2365	1842	1698	2298	1972
O14455	YPL249C-A	RPL36b		60S ribosomal protein L36-B (L39) (YL39)	RPL36B RPL39B YPL249C-A YPL249BC	100	24498	32321	37161	17135	23329	24471	24376	31232	29676
O14467	YOR298C-A	MBF1		Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	MBF1 SUF13 YOR298C-A	151	8618.162797	9959.445768	8236.558505	6431.719677	7648.324065	7018.539449	6631.881935	9268.732923	7193.323154
P00330	YOL086C	ADH1	1.1.1.1	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)	ADH1 ADC1 YOL086C O0947	348	44420.2257	47022.44879	53067.348	52271.37519	60332.87363	61017.54759	39442.3441	47350.5732	46803.09365
P00360	YJL052W	TDH1	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12)	TDH1 GPD1 SSS2 YJL052W J1154	332	53937.13867	51732.232	46760.79053	21649.57219	29373.41861	25380.77589	32385.04771	39999.37889	31595.01301
P00445	YJR104C	SOD1	1.15.1.1	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1 YJR104C J1968	154	28351.70055	33154.39528	37719.435	22453.06968	28070.67557	27134.17413	21369.52254	32212.12748	29033.03962
P00498	YER055C	HIS1	2.4.2.17	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	HIS1 YER055C	297	4432.686906	4484.792369	3598.654635	5048.072595	5557.856366	5581.183524	3317.534455	4120.865521	3223.653981
P00546	YBR160W	CDC28	2.7.11.22	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	298	1164	1176	1269	1053	1033	747	1015	1184	788
P00549	YAL038W	CDC19	2.7.1.40	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	CDC19 PYK1 YAL038W	500	85984.89657	86240.46082	85766.75804	64033.45498	65860.36162	63351.22581	69447.69958	74618.76046	69911.18893
P00560	YCR012W	PGK1	2.7.2.3	Phosphoglycerate kinase (EC 2.7.2.3)	PGK1 YCR012W YCR12W	416	88086.56101	96384.75896	94583.51689	73865.97002	85172.84969	83807.23832	74260.38552	88523.68773	82709.06571
P00812	YPL111W	CAR1	3.5.3.1	Arginase (EC 3.5.3.1)	CAR1 YPL111W LPH15W	333	1288	1345	1161	1692	1943	1820	744	1371	766
P00815	YCL030C	HIS4	3.5.4.19	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	HIS4 YCL030C YCL183 YCL30C	799	4448.637583	5111.716582	4137.474452	12067.20322	13202.50711	11510.66875	3601.568455	5038.147042	4086.704513
P00817	YBR011C	IPP1	3.6.1.1	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	IPP1 PPA PPA1 YBR011C YBR0202	287	24994.81739	30663.27243	29813.3267	25043.79176	23934.727	25479.7188	23349.14655	28963.34981	23289.83472
